id_operator,id_document,designation,item_code,ia_product,id_etablishment,conditioning_unit,quantity,unit_price_without_tax,item_discount
47,36042,Concombre 300/400 HVE 12P c1 FR,222139,concombre,264,KG,0.7,3.486,0.0
47,36042,Citron jaune 5 ~6K c1 ES,231042,citron jaune,264,KG,6.35,1.901,0.0
47,36042,"Oignon jne 60/80 1,5KX6 c1 FR",287106,oignon jaune,264,KG,4.5,2.247,0.0
47,36042,Palourde japonaise el moyen 3K,101829,palourde,264,KG,6.0,10.9,0.0
47,36043,♦FOURCHETTE TABLE AUSTIN RETRO                                    *                      ,390209,fourchette table,264,,60.0,1.75,0.0
47,36043,              305527 ♦Lot de 10 boules de recurage inox                                                         ,2023,boule spirale 40,264,,3.0,5.7,0.0
47,36043,‘Pastilles de sel regenerant                                                               ,309049,pastille chocolat,264,,2.0,16.29,0.0
47,36043,♦Verrine droit transparent verre 0                                                       ,123651,verrine,264,,96.0,1.1,0.0
47,36043,♦Nettoyant sanitaire 1 L Santor                                                            ,192719,nettoyant concentre,264,,2.0,5.35,0.0
47,36043,♦Nettoyant desinfectant sans rincag                                                        ,424560,nettoyant desinfectant,264,,4.0,40.11,0.0
47,36043,♦ Pulverisateur bleu 650 ml                                                                ,093180,pulverisateur,264,,2.0,2.99,0.0
47,36043,♦ Bougie chauffe plat rond blanc O 3                                                       ,325715,bougie chauffe,264,,8.0,8.19,0.0
47,36043,♦ Bobine a devidage central blanc ou                                                       ,481522,essuie main devidage central,264,,2.0,11.5,0.0
47,36043,♦ Sac a dechets plastique noir 130 L                                                       ,370667,sac poubelle 10 blanc,264,,6.0,19.7,0.0
47,36043,♦ Pulverisateur rouge 650 ml                                                               ,093179,pulverisateur,264,,2.0,2.99,0.0
47,36045,HF citronnelle sac 30g MA,187101,citronnelle,264,SAC,1.0,1.52,0.0
47,36046,Puree grenade 1KX6 Ponthier°,102487,puree grenade,264,KG,1.0,8.8,0.0
47,36046,Sal jp roquette 500gX2 100% FR°°,103535,jeune pousse roquette,264,KG,1.0,5.2,0.0
47,36046,Sal jp roquette 500gX2 100% FR°°,103535,jeune pousse roquette,264,KG,2.0,5.2,0.0
47,36046,Oignon jne saucier 20/40 500gX10 c1 FR,106386,oignon jaune,264,FLT,1.0,1.75,0.0
47,36046,Oignon rge 50/70 5K c1 FR,106534,oignon rouge,264,KG,5.0,1.9,0.0
47,36046,Fleur pensee bleue 1bq FR,107660,fleur pense,264,BQT,4.0,6.555,0.0
47,36046,Sal iceberg 10P ~5K c1 ES,113244,salade iceberg,264,PU,20.0,1.15,0.0
47,36046,Sal mache bq 500gX2 100% c1 FR°°,113315,salade mache,264,KG,1.0,6.84,0.0
47,36046,Grenade ~4K 12F ES,123236,grenade,264,KG,0.61,4.23,0.0
47,36046,Fleur pensee jaune 1bq FR,150444,fleur pense,264,BQT,4.0,6.555,0.0
47,36046,HF basilic sac 100g KE,195823,basilic frais,264,SAC,10.0,1.9,0.0
47,36046,Crevette tropic crue dec 20/30 2K,101806,crevette rouge,264,KG,2.0,10.9,0.0
47,36047,Ail pele 4G 1KX12 CN°,197940,ail pele,264,KG,1.0,6.55,0.0
47,36047,Puree avocat HPP dec 1KX6 JDM,287682,puree abricot,264,KG,1.0,10.5,0.0
47,36047,Sal jp roquette 500gX2 100% IT°°,103536,jeune pousse roquette,264,KG,1.0,5.2,0.0
47,36047,Champ paris bl moy PC 3K c1 PL,106921,champignon blanc,264,KG,12.0,2.95,0.0
47,36047,Champ paris bl moy PC 3K c1 PL,106921,champignon blanc,264,KG,3.0,2.95,0.0
47,36047,HF menthe botte nue 100g FR,111540,menthe botte,264,BOT,1.0,1.9,0.0
47,36047,HF persil plat 1K ES,112921,persil botte,264,KG,1.0,4.9,0.0
47,36047,Sal mache bq 500gX2 100% c1 FR°°,113315,salade mache,264,KG,1.0,6.84,0.0
47,36047,Celeri branche ~5K c1 ES,139003,celeri branche,264,KG,1.12,2.723,0.0
47,36047,HF basilic sac 100g KE,195823,basilic frais,264,SAC,3.0,1.9,0.0
47,36047,Carotte 1KX12 c1 REG,265303,carotte,264,KG,1.0,2.1,0.0
47,36047,Palourde japonaise el moyen 3K,101829,palourde,264,KG,6.0,10.9,0.0
47,36048,Puree passion 1KX6 Ponthier°,102388,puree passion,264,KG,1.0,9.95,0.0
47,36048,Puree pamplemousse rose 1KX6 Ponthier°,178233,puree pamplemousse,264,KG,1.0,8.16,0.0
47,36048,Ail pele 4G 1KX12 CN°,197940,ail pele,264,KG,1.0,6.55,0.0
47,36048,Sal jp roquette 500gX2 100% FR°°,103535,jeune pousse roquette,264,KG,1.0,5.2,0.0
47,36048,Courgette 21/35 5K c1 ES,107436,courgette,264,KG,5.0,2.186,0.0
47,36048,Fleur pensee bleue 1bq FR,107660,fleur pense,264,BQT,1.0,6.56,0.0
47,36048,HF menthe sac 100g MA,110061,menthe botte,264,SAC,3.0,1.9,0.0
47,36048,HF menthe botte nue 100g FR,111540,menthe botte,264,BOT,1.0,1.9,0.0
47,36048,HF persil plat 1K ES,112921,persil botte,264,KG,1.0,4.9,0.0
47,36048,"Citron lime ~4,5K c1 BR",151265,,264,KG,4.376,3.901,0.0
47,36048,Tom cer rde mixte 4K c2 REG,175595,tomate cerise rouge,264,KG,8.0,6.555,0.0
47,36048,Tom cer mixte 1K Azura c1 MA,187144,tomate cerise rouge,264,KG,6.0,6.555,0.0
47,36048,HF basilic sac 100g KE,195823,basilic frais,264,SAC,1.0,1.9,0.0
47,36048,HF basilic sac 100g KE,195823,basilic frais,264,SAC,10.0,1.9,0.0
47,36048,Fraise ronde plt 1K c1 REG,201596,fraise,264,KG,1.0,9.41,0.0
47,36048,Concombre 300/400 14P c1 ES,219297,concombre,264,KG,0.614,2.622,0.0
47,36048,Citron jaune 5 ~6K c1 ES,231042,citron jaune,264,KG,12.7,1.9,0.0
47,36048,Puree avocat HPP dec 1KX6 JDM,287682,puree abricot,264,KG,5.0,10.5,0.0
47,36048,Palourde japonaise sauv moyen 3K,101723,palourde,264,KG,9.0,13.9,0.0
47,36049,Stick mozzarella (20Gx50)x5 Maestrella,58020,mozzarella stick,264,KG,2.0,12.5,0.0
